Company,Rating,Good Review,Bad Review,Industry,HQ,Total locations
VTP Realty,3.5,Not Available,Not Available,Real Estate,Pune,4
Ambuja Neotia,3.8,Job Security,"Promotions, Salary",Real Estate,Kolkata,16
Repco Home Finance,3.5,Not Available,Not Available,NBFC,Chennai,94
Konecranes,3.8,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Skill Development",Industrial Machinery,Pune,14
Nissan,3.6,Not Available,Not Available,Automobile,Chennai,74
Alfa Laval,3.9,"Work Life Balance, Company Culture, Job Security",Promotions,Industrial Machinery,Pune,19
Amri Hospital,4.0,"Job Security, Skill Development, Company Culture",Promotions,Healthcare,Kolkata,12
Call 2 Connect,2.4,Not Available,Not Available,BPO,Mumbai,21
LeadSquared,2.7,Not Available,Not Available,Software Product,Bengaluru,15
Merck Life Science,3.9,"Work Life Balance, Company Culture, Job Security","Promotions, Salary",Pharma,Bengaluru,15
Hexagon Capability Center,4.0,"Work Life Balance, Company Culture, Job Security","Promotions, Salary",IT Services & Consulting,Hyderabad,9
Park Hospital,3.6,Not Available,Not Available,Healthcare,Gurugram,24
Fosroc India,4.3,Not Available,Not Available,Chemicals,Bengaluru,47
GSP Crop Science,4.0,"Work Life Balance, Work Satisfaction, Skill Development","Promotions, Salary",Agro Chemicals,Vadodara,46
Hurix Digital,3.1,Not Available,Not Available,IT Services & Consulting,Chennai,7
Wellness Forever Lifestyle Chemist,3.9,"Skill Development, Company Culture",Promotions,Retail,Mumbai,47
Kennametal,3.6,Not Available,Not Available,Industrial Machinery,Bengaluru,14
JBS Enterprises,3.2,Not Available,Not Available,Electronics Manufacturing,Mumbai,71
Teamspace Financial Services,4.0,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Recruitment,Mumbai,128
Rosmerta Technologies,3.3,Not Available,Not Available,Auto Components,Gurugram,56
Coronis Health,3.3,Not Available,Not Available,Analytics & KPO,Sahibzada Ajit Singh Nagar,11
Arjas Steel,3.9,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",Iron & Steel,Anantapur,23
Shakti Pumps,3.7,Not Available,Not Available,Industrial Machinery,Indore,46
Imarque Solutions,3.1,Not Available,Not Available,BPO,Chennai,17
