Company,Rating,Good Review,Bad Review,Industry,HQ,Total locations
Groupe SEB,3.4,Not Available,Not Available,Consumer Electronics & Appliances,New Delhi,42
Flash Viven Machining Technologies,3.6,Not Available,Not Available,Auto Components,Pune,3
Neolite Zkw Lightings,3.8,Not Available,Not Available,Auto Components,Bahadurgarh,12
The Indian Express,3.9,"Work Life Balance, Job Security","Promotions, Skill Development, Salary",Printing & Publishing,Noida,30
BPL Medical Technologies,3.4,Not Available,Not Available,Medical Equipment,Bengaluru,32
HEG,3.8,Not Available,Not Available,Semiconductors,Bhopal,12
Svatantra Micro Housing Finance Corporation Limited,3.8,"Work Life Balance, Company Culture",Promotions,Financial Services,Mumbai,63
VHS Consulting,3.8,Work Life Balance,"Job Security, Promotions",IT Services & Consulting,Bengaluru,13
Save the Children,4.4,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions",Non-Profit,Gurugram,41
Stratosphere IT Services,3.0,Not Available,Not Available,Recruitment,Hyderabad,19
KNR Constructions,4.0,Skill Development,Promotions,Engineering & Construction,Hyderabad,42
Z1 Tech,4.1,Not Available,Not Available,Internet,Gurugram,4
Echs Polyclinic,4.2,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions",Healthcare,New Delhi,110
Cube Highways,4.3,"Job Security, Company Culture, Work Life Balance",Promotions,Engineering & Construction,Noida,53
Cyrix Health Care,4.3,Not Available,Not Available,Medical Equipment,Lucknow,40
Brij Gopal Construction Company,3.9,Not Available,Not Available,Engineering & Construction,New Delhi,35
Excellon Software,4.3,Not Available,Not Available,Software Product,Pune,5
Broker Network,2.4,Not Available,Not Available,Internet,Mumbai,19
Reecomps Teleservices,3.7,Not Available,Not Available,Telecom,Mumbai,50
Garware Hi-Tech Films,3.9,"Job Security, Work Life Balance",Promotions,Packaging,Chhatrapati Sambhajinagar,11
NMDC Steels,3.9,"Work Life Balance, Salary","Job Security, Promotions",Iron & Steel,Jagdalpur,19
SEO Discovery,4.9,Not Available,Not Available,Financial Services,Sahibzada Ajit Singh Nagar,7
Lifelong India,3.9,"Job Security, Work Life Balance",Promotions,Petrochemicals,Gurugram,9
LinkedIn,4.1,"Work Life Balance, Salary, Company Culture","Job Security, Promotions",Internet,Bengaluru,9
Sonovision-Aetos,3.5,Not Available,Not Available,IT Services & Consulting,Bengaluru,4
BluSmart,3.8,Salary,Job Security,Urban Transport,Gurugram,12
Matrix ComSec,3.6,Not Available,Not Available,Law Enforcement & Security,Vadodara,13
Maral Overseas,3.6,Not Available,Not Available,Fashion & Textile,Noida,14
Trivitron Healthcare,3.3,Not Available,Not Available,Medical Equipment,Chennai,18
Link Group,3.7,"Work Life Balance, Job Security, Company Culture",Promotions,Financial Services,Mumbai,10
Kumaran Systems,3.6,Not Available,Not Available,IT Services & Consulting,Chennai,6
Reliance Home Finance,4.2,Not Available,Not Available,NBFC,Mumbai,45
Gem Engserv,3.9,"Salary, Work Life Balance, Company Culture",Job Security,Engineering & Construction,Mumbai,22
Innoplexus,4.2,Not Available,Not Available,IT Services & Consulting,Pune,2
Coffee Day,3.0,Not Available,Not Available,Hospitality,Bengaluru,33
John Crane Sealing Systems India,3.4,Not Available,Not Available,Industrial Machinery,Bengaluru,7
S&IB Services,3.9,"Company Culture, Work Life Balance, Job Security",Promotions,Facility Management Services,Kolkata,40
Flex Technologies,3.9,"Company Culture, Work Life Balance",Promotions,Chennai +10 other locations,Not Available,1
Touchstone Educationals,3.3,Not Available,Not Available,Education & Training,Chandigarh,30
PEARCE SERVICES,3.4,Not Available,Not Available,Telecom,Sahibzada Ajit Singh Nagar,14
Travelex,3.2,Not Available,Not Available,Financial Services,Mumbai,10
Chaitanya Projects Consultancy,4.0,Work Life Balance,Promotions,Financial Services,Noida,56
AbbVie Inc.,3.6,Not Available,Not Available,Pharma,Bengaluru,32
Veolia,3.9,"Job Security, Company Culture, Work Life Balance",Promotions,Waste Management,Bengaluru,44
Om Innovation Call Services,3.6,Not Available,Not Available,BPO,New Delhi,14
ExpertCallers,3.4,Not Available,Not Available,BPO,Bengaluru,9
Bajel Projects,4.2,Not Available,Not Available,Engineering & Construction,Mumbai,52
Mantri Developers,3.3,Not Available,Not Available,Real Estate,Bengaluru,7
FarEye,3.3,Not Available,Not Available,IT Services & Consulting,Noida,7
Mvs Acmei Technologies,3.9,Not Available,Not Available,Industrial Machinery,Hyderabad,39
Shri Mahavir Ferro Alloys,3.4,Not Available,Not Available,Iron & Steel,Rourkela,9
SRR Projects,4.1,Not Available,Not Available,Engineering & Construction,Hyderabad,27
Steelman Telecom,3.8,Not Available,Not Available,Telecom,Kolkata,51
ZeMoSo Technologies,3.0,Not Available,Not Available,IT Services & Consulting,Hyderabad,7
Centaur Billing,3.8,Not Available,Not Available,BPO,Chennai,2
Changepond Technologies,2.9,Not Available,Not Available,IT Services & Consulting,Chennai,5
Fragomen Immigration Services,3.4,Not Available,Not Available,Travel & Tourism,Kochi,14
Teerthanker Mahaveer University,3.4,Not Available,Not Available,Education & Training,Moradabad,13
TRF,3.5,Not Available,Not Available,Auto Components,Jamshedpur,19
Army Ordnance Corps,4.8,Not Available,Not Available,Defence & Aerospace,New Delhi,61
Jaypee Hotels,3.9,"Work Life Balance, Job Security","Promotions, Salary",Hospitality,New Delhi,15
Orange Mantra,3.6,Not Available,Not Available,IT Services & Consulting,Gurugram,8
Zydus Hospira Oncology,4.2,Not Available,Not Available,Pharma,Ahmedabad,7
RegisterKaro,3.5,Not Available,Not Available,Internet,Gurugram,7
Stashfin,4.2,Not Available,Not Available,FinTech,New Delhi,19
Ajmera Realty & Infra India,4.6,Not Available,Not Available,Real Estate,Mumbai,7
Consilio,3.6,Work Life Balance,"Promotions, Skill Development, Job Security",Legal,Bengaluru,9
Megafine Pharma,3.8,Not Available,Not Available,Pharma,Nashik,12
MaRS Planning & Engineering Services,3.8,Work Life Balance,"Promotions, Job Security, Salary",Engineering & Construction,Ahmedabad,67
The Mission Hospital,3.8,"Job Security, Company Culture, Skill Development","Promotions, Salary",Healthcare,Durgapur,26
Mining Engineering Services,3.7,Not Available,Not Available,Metals & Mining,Vadodara,19
Charak Pharma,3.6,Work Life Balance,"Promotions, Job Security",Healthcare,Mumbai,42
Ceragon Networks,3.8,Work Life Balance,"Promotions, Job Security",Telecom,New Delhi,31
Olympus,3.7,"Job Security, Work Life Balance","Promotions, Skill Development, Work Satisfaction",Medical Equipment,Gurugram,20
Ishan Technologies,3.6,Not Available,Not Available,Internet,Ahmedabad,37
Reliance Money,4.3,Not Available,Not Available,Financial Services,Mumbai,53
Affluent Global Services,2.9,Not Available,Not Available,IT Services & Consulting,Hyderabad,12
Verifone,3.1,Not Available,Not Available,FinTech,Bengaluru,7
Pattern Technologies,4.3,Not Available,Not Available,Software Product,Pune,4
Bo International,4.1,Not Available,Not Available,Beauty & Personal Care,New Delhi,6
Ami Polymer,3.6,Salary,"Job Security, Work Satisfaction",Medical Equipment,Dadra & Nagar Haveli,16
PrepLadder,2.6,Not Available,Not Available,EdTech,Chandigarh,18
DelaPlex Software,4.2,Not Available,Not Available,IT Services & Consulting,Nagpur,7
Texas Instruments,3.7,"Salary, Job Security",Promotions,Semiconductors,Bengaluru,11
Google Pay,3.7,Salary,Job Security,FinTech,Bengaluru,81
Verifacts Services,3.2,Not Available,Not Available,Recruitment,Bengaluru,11
Government Medical College,4.1,"Skill Development, Work Life Balance, Work Satisfaction",Promotions,Education & Training,Srinagar,70
Augtech Nextwealth,3.7,Company Culture,"Salary, Promotions, Job Security",IT Services & Consulting,Bhilai Nagar,4
Valueonshore Advisors,3.7,Not Available,Not Available,Management Consulting,Gurugram,6
Ritu Kumar,3.9,"Work Life Balance, Job Security, Skill Development",Promotions,Fashion & Textile,Gurugram,38
Colourtex,3.8,"Job Security, Work Life Balance","Promotions, Salary",Chemicals,Surat,17
Elevate Services,3.1,Not Available,Not Available,Software Product,Gurugram,7
Scyo Decision Services,4.5,Not Available,Not Available,Analytics & KPO,Chennai,4
Patton International,3.6,Job Security,"Promotions, Salary, Company Culture",Iron & Steel,Kolkata,5
Marine Electricals,3.7,Not Available,Not Available,Industrial Automation,Mumbai,21
Kriti Industries,3.5,Not Available,Not Available,Building Material,Indore,38
Wave Infratech,3.9,"Work Life Balance, Job Security, Company Culture",Promotions,Real Estate,Noida,10
Paychex IT Solutions India,3.4,Not Available,Not Available,Software Product,Bengaluru,4
EFKON INDIA,3.8,Salary,"Promotions, Company Culture, Work Satisfaction",IT Services & Consulting,Gurugram,24
Biotique,3.2,Not Available,Not Available,Beauty & Personal Care,Noida,37
United India Insurance Company,4.3,Not Available,Not Available,Insurance,Chennai,83
Zinnov Management Consulting,3.2,Not Available,Not Available,Management Consulting,Bengaluru,14
Flexituff Ventures International,3.4,Not Available,Not Available,Packaging,Indore,17
Neogen Chemicals,4.0,Not Available,Not Available,Chemicals,Bharuch,10
Matix Fertilisers & Chemicals,3.7,Not Available,Not Available,Agro Chemicals,Durgapur,16
Sun Vacuum Formers,3.9,"Job Security, Skill Development",Promotions,Auto Components,Gurugram,10
Marquardt,3.7,Not Available,Not Available,Auto Components,Pune,7
Valenta AI Private Limited,4.3,Not Available,Not Available,Emerging Technologies,Bengaluru,13
Blue Cross Laboratories,3.7,Not Available,Not Available,Pharma,Mumbai,57
Nyx-medical Solutions,3.6,Not Available,Not Available,Analytics & KPO,Bengaluru,9
Dunnhumby,3.7,"Work Life Balance, Company Culture, Job Security","Promotions, Work Satisfaction, Skill Development",Analytics & KPO,Gurugram,6
Algoworks,3.1,Not Available,Not Available,IT Services & Consulting,Noida,6
ICPA Health Products,3.2,Not Available,Not Available,Healthcare,Mumbai,39
Knest Manufacturers,3.5,Not Available,Not Available,Metals & Mining,Pune,14
Aia Engineering,4.1,Not Available,Not Available,Industrial Machinery,Ahmedabad,6
Kserve Bpo,4.4,Not Available,Not Available,BPO,Mumbai,6
Fortis Memorial Research Institute,4.0,Not Available,Not Available,Travel & Tourism,Gurugram,9
Ritz-Carlton,4.0,Not Available,Not Available,Hospitality,Bengaluru,17
Gold's Gym,4.0,"Work Life Balance, Company Culture, Skill Development",Job Security,Fitness & Wellness,Mumbai,51
MT Educare,2.5,Not Available,Not Available,EdTech,Mumbai,26
Beumer Group,3.9,"Work Life Balance, Job Security, Company Culture",Promotions,Industrial Machinery,Gurugram,21
SrinSoft Technologies,3.8,Not Available,Not Available,IT Services & Consulting,Chennai,6
TLC DigiTech Private Limited,3.2,Not Available,Not Available,Hospitality,New Delhi,23
Anand CY Myutec Automotive,3.7,"Job Security, Company Culture","Promotions, Work Satisfaction",Auto Components,Gurugram,12
King George's Medical University,4.2,Not Available,Not Available,Education & Training,Lucknow,14
Forest Essentials,4.1,Not Available,Not Available,Retail,New Delhi,44
Archwell Operations,3.4,Not Available,Not Available,IT Services & Consulting,Bengaluru,8
Bank Muscat,4.1,Not Available,Not Available,Banking,Mumbai,76
SGB By BrandSafway,3.9,Not Available,Not Available,Engineering & Construction,Hyderabad,34
Ncc Urban Infrastructure,4.2,Not Available,Not Available,Engineering & Construction,Hyderabad,25
Busy Infotech,4.1,Not Available,Not Available,Software Product,New Delhi,30
Merkle,3.4,Not Available,Not Available,Mumbai +12 other locations,Not Available,1
INFOSEC VENTURES,3.2,Not Available,Not Available,IT Services & Consulting,Gurugram,4
Steril Gene Life Sciences,3.8,"Job Security, Skill Development, Work Life Balance","Salary, Promotions",Pharma,Puducherry,11
VisionTek,3.6,Not Available,Not Available,Telecom,Hyderabad,30
Ga Digital Web Word,3.6,Not Available,Not Available,IT Services & Consulting,New Delhi,49
Sankey Solutions,3.8,Not Available,Not Available,IT Services & Consulting,Mumbai,7
MINISO,3.7,Not Available,Not Available,Retail,New Delhi,45
Lauren Information Technologies,3.5,Not Available,Not Available,IT Services & Consulting,Mumbai,20
Arihant Publications,3.7,Not Available,Not Available,Printing & Publishing,New Delhi,24
Helmerich & Payne,3.7,Work Life Balance,"Promotions, Salary, Job Security",Oil & Gas,Bengaluru,16
Ivy Hospital,3.6,Not Available,Not Available,Healthcare,Chandigarh,14
RAXA,4.2,Not Available,Not Available,Law Enforcement & Security,New Delhi,26
Centillion Solutions and Services,3.8,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Salary",IT Services & Consulting,Bengaluru,75
Vensa Infrastructure,4.2,Not Available,Not Available,Real Estate,Hyderabad,26
Kinetic Green Energy And Power Solutions,2.9,Not Available,Not Available,Power,Pune,30
Nielsen Sports,3.8,"Work Life Balance, Company Culture","Promotions, Skill Development, Salary",Sports & Recreation,Bengaluru,7
Teachers Insurance and Annuity Association of America,3.8,"Work Life Balance, Salary, Company Culture","Promotions, Skill Development, Work Satisfaction",Financial Services,Pune,5
Moreish Food,3.5,Not Available,Not Available,Food Processing,Kolkata,27
Itvedant Education,3.7,Not Available,Not Available,Education & Training,Mumbai,14
Essel Group,3.9,Job Security,"Promotions, Company Culture, Salary",Media & Entertainment,Mumbai,40
CompuGroup Medical,3.3,Not Available,Not Available,Software Product,Noida,7
Religare Finvest,4.2,Not Available,Not Available,Financial Services,New Delhi,35
Kanoria Chemicals & Industries,3.8,"Job Security, Work Life Balance","Promotions, Salary",Chemicals,Ankleshwar,18
STMicroelectronics,4.0,"Work Life Balance, Company Culture, Job Security",Promotions,Semiconductors,Noida,8
Nuance Communications,4.1,Not Available,Not Available,Software Product,Pune,15
Techahead Software,3.8,"Skill Development, Company Culture",Job Security,IT Services & Consulting,Noida,8
Mayur Uniquoters,3.9,Work Life Balance,Promotions,Leather,Jaipur,13
Ts Tech Sun India,4.0,Not Available,Not Available,Automobile,Neemrana,13
Amrita Vishwa Vidyapeetham,3.6,Not Available,Not Available,Education & Training,Coimbatore,22
Relevantz Technology Services,3.6,Not Available,Not Available,IT Services & Consulting,Chennai,7
Navitas Life Sciences,3.6,Job Security,"Promotions, Salary, Company Culture",Clinical Research,Chennai,8
Taggd,3.3,Not Available,Not Available,Recruitment,Gurugram,18
Ankura Hospital,3.7,Not Available,Not Available,Healthcare,Hyderabad,14
Mordor Intelligence,2.7,Not Available,Not Available,Analytics & KPO,Hyderabad,4
State Street Global Advisors,3.6,Not Available,Not Available,Bengaluru +6 other locations,Not Available,1
B4S Solutions,4.0,Not Available,Not Available,Law Enforcement & Security,Pune,50
Man Industries,3.5,Not Available,Not Available,Iron & Steel,Mumbai,16
Coastal Marine Construction & Engineering,4.2,Not Available,Not Available,Engineering & Construction,Mumbai,24
Chrysalis High,3.9,Not Available,Not Available,Bengaluru +2 other locations,Not Available,1
Vcare Call Center,3.6,Not Available,Not Available,BPO,Noida,11
Prakash Industries,3.8,Not Available,Not Available,Metals & Mining,Champa,42
Furlenco,3.3,Not Available,Not Available,Internet,Bengaluru,17
InMobi,3.0,Not Available,Not Available,Marketing & Advertising,Bengaluru,11
ABCD,4.1,Not Available,Not Available,Education & Training,Bengaluru,36
Pha India,4.0,"Job Security, Work Satisfaction","Promotions, Salary",Auto Components,Chennai,14
Reserve Bank Information Technology,3.3,Not Available,Not Available,IT Services & Consulting,Mumbai,8
Savita Oil Technologies,4.2,"Work Life Balance, Job Security, Company Culture",Promotions,Oil & Gas,Mumbai,31
Hyva,3.8,Work Life Balance,"Promotions, Skill Development",Urban Transport,Pune,15
Unthinkable Solutions,2.7,Not Available,Not Available,IT Services & Consulting,Gurugram,4
Ramky Group,4.3,Not Available,Not Available,Engineering & Construction,Hyderabad,35
ContinuServe Softech India,3.3,Not Available,Not Available,BPO,Bengaluru,5
HTL,3.6,Not Available,Not Available,Telecom,Chennai,12
ARB Bearings,3.6,Not Available,Not Available,Auto Components,New Delhi,21
Eazy ERP Technologies,3.8,Company Culture,"Promotions, Salary",IT Services & Consulting,Gurugram,13
TP Southern Odisha Distribution,3.5,Job Security,"Promotions, Salary, Company Culture",Berhampur +23 other locations,Not Available,1
OPG Mobility,3.1,Not Available,Not Available,Automobile,New Delhi,33
Oasis Fertility,3.9,"Skill Development, Company Culture, Work Life Balance",Promotions,Healthcare,Hyderabad,23
Meditab Software,3.3,Not Available,Not Available,Software Product,Ahmedabad,3
Petrofac Engineering India,4.6,"Work Satisfaction, Salary, Company Culture",Job Security,Petrochemicals,Mumbai,13
Moople Academy,4.2,Not Available,Not Available,Education & Training,Kolkata,12
Bondada Engineering,3.6,Not Available,Not Available,Engineering & Construction,Hyderabad,43
Bosch Power Tools,4.3,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Industrial Machinery,Chennai,41
Jagsonpal Pharmaceuticals,3.5,Not Available,Not Available,Pharma,New Delhi,50
Bsr Infratech India,3.8,"Work Life Balance, Job Security, Skill Development","Promotions, Salary",Engineering & Construction,Bengaluru,14
Chiripal Poly Films,4.0,Not Available,Not Available,Packaging,Ahmedabad,12
BMW Industries,3.4,Not Available,Not Available,Iron & Steel,Kolkata,18
Mehin,4.0,"Work Life Balance, Skill Development, Company Culture",Promotions,Software Product,Mumbai,71
Hicare Services,3.9,Company Culture,Promotions,Facility Management Services,Mumbai,25
Rolta India,3.3,Not Available,Not Available,IT Services & Consulting,Mumbai,13
Ganit Inc,3.8,Skill Development,Job Security,IT Services & Consulting,Chennai,8
KPR Mill,3.8,"Work Life Balance, Salary",Promotions,Fashion & Textile,Coimbatore,23
Sutlej Textiles and Industries,3.8,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",Fashion & Textile,Mumbai,20
Hippo Homes,3.4,Not Available,Not Available,Retail,New Delhi,16
ExcelSoft Technologies,3.5,Job Security,"Promotions, Salary, Company Culture",IT Services & Consulting,Mysuru,5
All India Radio,4.3,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Government,New Delhi,85
Preethi Kitchen Appliances,3.9,"Salary, Work Life Balance",Promotions,Electronics Manufacturing,Chennai,49
AYM Syntex,3.4,Not Available,Not Available,Fashion & Textile,Mumbai,10
Garden Silk Mills,3.7,Work Life Balance,"Promotions, Salary, Work Satisfaction",Fashion & Textile,Surat,12
Optimus Drugs,4.0,Not Available,Not Available,Pharma,Hyderabad,8
Blazeclan Technologies,3.7,Not Available,Not Available,IT Services & Consulting,Pune,9
American InfoSource,3.7,Job Security,"Promotions, Salary, Skill Development",IT Services & Consulting,Vadodara,3
SIAC SKH India Cabs Manufacturing,3.8,"Work Life Balance, Job Security","Promotions, Skill Development",Industrial Machinery,Faridabad,10
Absolute Barbecues,4.0,Not Available,Not Available,Hospitality,Hyderabad,24
Uni Cards,3.8,Salary,Job Security,FinTech,Bengaluru,9
UL Solutions,3.9,"Work Life Balance, Company Culture",Promotions,"Testing, Inspection and Certification (TIC)",Bengaluru,10
MyCaptain by Imarticus Learning,3.6,Not Available,Not Available,EdTech,Bengaluru,10
Cotecna Inspection India,3.6,Not Available,Not Available,Analytics & KPO,Mumbai,36
Toshiba Water Solutions,3.8,"Work Life Balance, Job Security","Promotions, Company Culture, Skill Development",Waste Management,Gurugram,21
Vishnu Chemicals,3.9,"Job Security, Work Life Balance",Promotions,Chemicals,Visakhapatnam,13
OSI Digital,3.5,Not Available,Not Available,IT Services & Consulting,Hyderabad,5
ZingHR,3.0,Not Available,Not Available,IT Services & Consulting,Mumbai,10
Bazar India,3.7,Not Available,Not Available,Retail,Gurugram,57
BeatO,3.3,Not Available,Not Available,Fitness & Wellness,New Delhi,8
Atidiv,2.7,Not Available,Not Available,IT Services & Consulting,Pune,3
SPRAY ENGINEERING DEVICES,4.2,Not Available,Not Available,Industrial Machinery,Sahibzada Ajit Singh Nagar,13
Rossari Biotech,3.7,Salary,"Promotions, Work Satisfaction, Job Security",Chemicals,Mumbai,25
Enser Communications,2.7,Not Available,Not Available,IT Services & Consulting,Gurugram,16
VISTRA INTERNATIONAL EXPANSION,3.4,Not Available,Not Available,Other,Mumbai,7
Droom,3.2,Not Available,Not Available,Internet,Gurugram,3
Lizmontagens India,4.1,Not Available,Not Available,Engineering & Construction,Mumbai,22
Purnartha Investment Advisors,4.1,Not Available,Not Available,Financial Services,Pune,17
Mitsui O.S.K. Lines,4.0,"Work Life Balance, Job Security, Salary",Promotions,Ports & Shipping,Mumbai,17
Ibis,4.4,Not Available,Not Available,Hospitality,Mumbai,26
Resonance Eduventures,3.7,"Work Life Balance, Skill Development, Company Culture","Promotions, Salary, Job Security",EdTech,Kota,41
Laxmi-Agni Components and Forging,4.1,Not Available,Not Available,Industrial Machinery,Chhatrapati Sambhajinagar,10
Drools,3.5,Not Available,Not Available,FMCG,Bengaluru,55
Rubamin,4.0,Not Available,Not Available,Pharma,Vadodara,8
Connectwell Industries,3.7,Not Available,Not Available,Electronics Manufacturing,Mumbai,14
Nuberg Engineering,3.7,Not Available,Not Available,Industrial Machinery,Noida,16
MEDICO Healthcare Services & Technologies,3.2,Not Available,Not Available,Healthcare,Hyderabad,12
Graviti Pharmaceuticals,3.0,Not Available,Not Available,Pharma,Hyderabad,6
Integrated Personnel Services Limited,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Recruitment,Mumbai,37
Yaantra,3.5,Not Available,Not Available,Internet,New Delhi,26
Indo Rama Synthetics (i),3.7,Job Security,"Promotions, Salary, Work Satisfaction",Fashion & Textile,Nagpur,12
Globus Stores,3.6,Skill Development,"Promotions, Company Culture, Work Life Balance",Retail,Mumbai,34
Indo Nissin Foods,4.0,"Work Life Balance, Work Satisfaction, Job Security",Promotions,Food Processing,Bengaluru,44
Keertana Finserv,3.2,Not Available,Not Available,NBFC,Hyderabad,62
WovVTech,4.2,Not Available,Not Available,Software Product,Vadodara,13
Jindal (India) Limited,4.0,Not Available,Not Available,Iron & Steel,Kolkata,11
TATA MEDICAL CENTER,3.8,"Job Security, Skill Development","Promotions, Salary",Healthcare,Kolkata,8
SITA,3.7,Work Life Balance,"Promotions, Job Security, Skill Development",IT Services & Consulting,Gurugram,30
Walter Bushnell,3.1,Not Available,Not Available,Pharma,Gurugram,52
Analytix Business Solutions,3.2,Not Available,Not Available,Analytics & KPO,Ahmedabad,9
Hinduja Group,3.7,"Work Life Balance, Job Security","Promotions, Skill Development, Salary",Automobile,Chennai,56
Bikaji Foods,4.1,"Salary, Work Life Balance, Skill Development",Promotions,Hospitality,Bikaner,53
XenonStack,3.2,Not Available,Not Available,Emerging Technologies,Sahibzada Ajit Singh Nagar,10
Maxinfra,4.0,Not Available,Not Available,Real Estate,Hyderabad,27
Prozo,3.4,Not Available,Not Available,Internet,Gurugram,29
Acorn Universal Consultancy LLP,4.2,Not Available,Not Available,BPO,Anand,3
Modern Automotives,4.2,Not Available,Not Available,Auto Components,Gurugram,21
Futurism Technologies,3.8,Not Available,Not Available,IT Services & Consulting,Pune,4
Northern Arc Capital,3.7,Salary,"Promotions, Work Satisfaction, Company Culture",NBFC,Chennai,55
Hindustan PowerProjects,3.7,Salary,"Company Culture, Promotions, Job Security",Power,Anuppur,21
Pran Beverages India,3.7,Not Available,Not Available,Beverage,Kolkata,55
Innovapptive,4.3,Not Available,Not Available,Software Product,Hyderabad,4
South Eastern Coalfields,4.2,Not Available,Not Available,Metals & Mining,Bilaspur,31
Marsh,4.1,"Company Culture, Work Life Balance, Job Security",Promotions,Insurance,Mumbai,11
Synthite Industries,4.0,"Company Culture, Work Life Balance, Job Security",Promotions,Food Processing,Kochi,19
Mark's,4.0,Not Available,Not Available,Telecom,Gurugram,36
Akbar Travels,3.4,Not Available,Not Available,Travel & Tourism,Mumbai,34
Tata Lockheed Martin Aerostructures,4.0,"Job Security, Skill Development, Company Culture","Salary, Promotions",Defence & Aerospace,Hyderabad,8
Flair Writing Instruments,3.6,Not Available,Not Available,Other,Mumbai,54
Cogent,3.2,Not Available,Not Available,IT Services & Consulting,Bengaluru,26
Manipal Business Solutions,3.8,Not Available,Not Available,Gurugram +56 other locations,Not Available,1
Providence Global Center,3.7,"Work Life Balance, Salary, Company Culture","Promotions, Work Satisfaction, Skill Development",IT Services & Consulting,Hyderabad,3
Verticurl,3.0,Not Available,Not Available,Coimbatore +6 other locations,Not Available,1
Root Industries,4.0,"Job Security, Work Life Balance, Company Culture",Promotions,Auto Components,Coimbatore,18
Rapid Care Transcription,4.4,Not Available,Not Available,Analytics & KPO,Chennai,4
Laxmi India Finleasecap,3.9,Not Available,Not Available,Financial Services,Jaipur,65
RAKS Pharma,4.2,Not Available,Not Available,Pharma,Visakhapatnam,12
First Citizens India,3.9,Not Available,Not Available,Financial Services,Bengaluru,4
Milk Mantra Dairy,3.7,Not Available,Not Available,Food Processing,Bhubaneswar,26
Pothys,4.1,Not Available,Not Available,Fashion & Textile,Chennai,18
Cleartrip,3.3,Not Available,Not Available,Travel & Tourism,Bengaluru,13
AWC Software,3.7,Work Life Balance,"Promotions, Job Security, Skill Development",IT Services & Consulting,Noida,15
Zinnia,3.1,Not Available,Not Available,New Delhi +11 other locations,Not Available,1
Tata CLiQ,2.9,Not Available,Not Available,Internet,Mumbai,10
Xplore-Tech Services,3.2,Not Available,Not Available,BPO,Kolkata,15
ONLEI Technologies,4.9,Not Available,Not Available,Noida +22 other locations,Not Available,1
Oxyzo Financial Services,3.4,Not Available,Not Available,Financial Services,Gurugram,31
Counsel India,4.3,Not Available,Not Available,EdTech,Noida,4
Texspin Bearings,4.0,Not Available,Not Available,Auto Components,Ahmedabad,20
TEOCO Software,3.9,"Work Life Balance, Company Culture, Job Security","Promotions, Skill Development, Salary",IT Services & Consulting,Kolkata,10
Milan Laboratories India Private Limited,3.7,Skill Development,"Work Life Balance, Promotions, Company Culture",Pharma,Mumbai,17
Born Group,3.6,Not Available,Not Available,Marketing & Advertising,Chennai,11
Pathfinder Business Analysis,3.5,Not Available,Not Available,Management Consulting,Coimbatore,15
Inchcape Shipping Services,3.3,Not Available,Not Available,Ports & Shipping,Chennai,16
Abante Integrated Management Services,4.2,Not Available,Not Available,Management Consulting,Gurugram,7
ATS Homekraft,4.1,"Company Culture, Work Life Balance, Salary",Promotions,Real Estate,Noida,8
Tps Infrastructure,4.0,Not Available,Not Available,Industrial Machinery,Bhiwadi,16
City Montessori School,3.5,"Skill Development, Salary","Work Life Balance, Promotions, Job Security",Education & Training,Lucknow,9
Bharathi Cement,3.8,Not Available,Not Available,Building Material,Y.S.R. Kadapa,34
Gleeds Consulting (India) Pvt. Ltd,4.2,Not Available,Not Available,Real Estate,Bengaluru,22
Vivifi India Finance,3.4,Not Available,Not Available,NBFC,Hyderabad,8
SAMCO Securities,3.9,"Company Culture, Work Life Balance, Skill Development","Salary, Promotions",Financial Services,Mumbai,13
Dr Oetker,4.1,"Work Life Balance, Company Culture, Job Security",Promotions,Food Processing,New Delhi,35
Jm Frictech,3.3,Not Available,Not Available,Industrial Machinery,Chennai,10
Torque Pharmaceuticals,3.9,"Company Culture, Work Life Balance",Promotions,Pharma,Chandigarh,35
Chitkara University,4.2,Not Available,Not Available,Education & Training,Chandigarh,11
GENWORKS Health,3.1,Not Available,Not Available,Healthcare,Bengaluru,41
Travel Boutique Online,3.3,Not Available,Not Available,Travel & Tourism,Gurugram,17
Spacewood,3.4,Not Available,Not Available,Furniture & Furnishing,Nagpur,21
Ajax Engineering,3.9,"Company Culture, Work Life Balance",Promotions,Engineering & Construction,Bengaluru,30
M Swasth Solutions,3.4,Not Available,Not Available,Gurugram +44 other locations,Not Available,1
Deutsche Telekom Digital Labs,3.5,Not Available,Not Available,Software Product,Gurugram,6
Ebixcash World Money,3.5,Not Available,Not Available,FinTech,Mumbai,41
Satyesh Brinechem,3.2,Not Available,Not Available,Chemicals,Bhuj,13
Antino,2.8,Not Available,Not Available,Emerging Technologies,Gurugram,7
Microlink Solutions,3.7,Not Available,Not Available,IT Services & Consulting,Ahmedabad,32
Vidya Mandir Classes,3.3,Not Available,Not Available,EdTech,New Delhi,40
Navigators Software,4.2,Not Available,Not Available,IT Services & Consulting,Kolkata,4
